,index,speed
1064,24936,20
1065,24937,26
1066,24938,16
1067,24939,14
1068,24940,23
1069,24932,14
1070,24918,20
1071,24920,27
1072,24919,13
1073,24922,17
1074,24923,19
1075,24921,25
1076,24141,29
1077,24140,29
1078,24136,35
1079,24124,21
1080,24118,28
1081,24119,25
1082,24120,18
1083,24121,33
1084,24122,27
1085,24125,14
1086,24117,39
1087,24127,25
1088,24126,27
1089,24134,25
1090,24133,10
1091,24132,15
1092,24123,21
1093,24130,20
1094,24131,23
1095,24128,13
1096,24129,26
1097,23341,31
1098,23336,29
1099,23335,26
1100,23329,14
1101,23328,25
1102,23310,13
1103,23311,29
1104,23312,17
1105,23313,40
1106,23314,29
1107,23315,12
1108,23316,27
1109,23317,28
1110,23309,24
1111,23319,29
1112,23320,21
1113,23321,16
1114,23322,23
1115,23323,21
1116,23324,20
1117,23325,12
1118,23326,35
1119,23318,40
1120,23327,27
1121,22523,20
1122,22522,23
1123,22521,14
1124,22517,26
1125,22519,16
1126,22518,35
1127,22524,11
1128,22516,19
1129,22520,16
1130,22526,22
1131,22530,23
1132,22528,23
1133,22529,37
1134,22531,21
1135,22532,27
1136,22533,31
1137,22534,27
1138,22535,26
1139,22536,38
1140,22538,30
1141,22527,25
1142,22537,35
1143,22511,10
1144,22515,25
1145,22514,31
1146,22512,25
1147,21742,35
1148,21743,27
1149,21735,28
1150,21710,19
1151,21711,29
1152,21712,29
1153,21713,18
1154,21714,29
1155,21715,11
1156,21716,10
1157,21717,28
1158,21718,26
1159,21719,25
1160,21720,22
1161,21721,25
1162,21733,27
1163,21723,28
1164,21724,28
1165,21725,18
1166,21726,25
1167,21727,18
1168,21728,33
1169,21729,24
1170,21730,36
1171,21731,29
1172,21732,33
1173,21722,26
1174,21734,23
1175,20917,23
1176,20916,33
1177,20915,16
1178,20910,29
1179,20913,29
1180,20912,26
1181,20911,36
1182,20914,18
1183,20919,31
1184,20918,10
1185,20921,25
1186,20920,20
1187,20929,20
1188,20928,25
1189,20927,18
1190,20925,28
1191,20924,35
1192,20923,28
1193,20922,33
1194,20926,25
1195,20899,33
1196,20900,30
1197,20901,25
1198,20902,30
1199,20903,12
1200,20904,25
1201,20906,30
1202,20908,23
1203,20909,27
1204,20905,27
1205,20907,23
1206,20110,37
1207,20108,25
1208,20109,33
1209,20111,35
1210,20115,23
1211,20116,21
1212,20119,25
1213,20120,27
1214,20113,23
1215,20088,22
1216,20089,29
1217,20090,23
1218,20091,25
1219,20092,18
1220,20093,28
1221,20094,28
1222,20096,26
1223,20097,18
1224,20095,36
1225,20099,26
1226,20107,29
1227,20098,34
1228,20105,22
1229,20104,36
1230,20106,27
1231,20102,25
1232,20101,17
1233,20100,30
1234,20103,33
1235,19324,35
1236,19323,27
1237,19311,31
1238,19307,18
1239,19308,23
1240,19309,29
1241,19310,27
1242,19312,29
1243,19317,23
1244,19314,25
1245,19315,25
1246,19316,22
1247,19320,28
1248,19318,23
1249,19319,31
1250,19313,31
1251,19296,30
1252,19297,25
1253,19298,32
1254,19299,32
1255,19300,34
1256,19302,25
1257,19303,27
1258,19304,36
1259,19305,16
1260,19306,40
1261,19301,24
1262,18540,30
1263,18534,30
1264,18535,25
1265,18536,31
1266,18537,27
1267,18539,23
1268,18541,20
1269,18548,25
1270,18544,29
1271,18552,31
1272,18551,25
1273,18550,34
1274,18542,29
1275,18553,27
1276,18545,24
1277,18549,16
1278,18525,24
1279,18529,25
1280,18526,34
1281,18531,25
1282,18532,37
1283,18533,27
1284,18530,37
1285,17774,25
1286,17760,30
1287,17752,27
1288,17753,25
1289,17754,23
1290,17755,12
1291,17756,27
1292,17757,22
1293,17758,24
1294,17759,17
1295,17751,14
1296,17761,25
1297,17763,29
1298,17764,30
1299,17765,24
1300,17766,18
1301,17767,25
1302,17768,16
1303,17769,28
1304,17770,24
1305,17771,32
1306,17772,38
1307,17762,25
1308,17003,30
1309,17004,35
1310,17006,30
1311,17008,23
1312,17010,23
1313,17012,29
1314,17013,38
1315,17007,33
1316,16985,27
1317,16986,28
1318,16992,25
1319,16988,27
1320,16989,27
1321,16990,27
1322,16991,16
1323,16993,23
1324,16987,18
1325,16995,28
1326,17002,16
1327,17001,29
1328,17000,24
1329,16994,31
1330,16998,22
1331,16997,26
1332,16996,22
1333,16999,29
1334,16244,26
1335,16236,21
1336,16238,5
1337,16239,25
1338,16240,27
1339,16242,27
1340,16243,40
1341,16245,27
1342,16248,25
1343,16247,26
1344,16249,26
1345,16250,22
1346,16251,19
1347,16252,28
1348,16254,28
1349,16255,29
1350,16246,23
1351,16228,24
1352,16227,20
1353,16229,27
1354,16232,30
1355,16231,30
1356,16234,27
1357,16233,20
1358,16230,29
1359,15483,18
1360,15484,30
1361,15487,23
1362,15488,25
1363,15490,27
1364,15492,31
1365,15489,24
1366,15494,28
1367,15496,23
1368,15498,29
1369,15499,30
1370,15501,27
1371,15502,33
1372,15493,29
1373,15462,27
1374,15471,29
1375,15465,26
1376,15466,35
1377,15467,23
1378,15468,28
1379,15469,28
1380,15472,22
1381,15464,17
1382,15474,27
1383,15481,19
1384,15480,21
1385,15479,24
1386,15473,23
1387,15477,20
1388,15476,29
1389,15475,26
1390,15478,23
1391,14780,35
1392,14777,19
1393,14755,30
1394,14756,27
1395,14757,29
1396,14758,28
1397,14759,25
1398,14760,34
1399,14761,29
1400,14762,23
1401,14763,27
1402,14765,23
1403,14766,25
1404,14767,25
1405,14769,20
1406,14770,34
1407,14771,26
1408,14772,29
1409,14773,23
1410,14774,30
1411,14764,16
1412,14768,33
1413,14749,23
1414,14747,20
1415,14748,18
1416,14750,25
