,index,speed,time
305,42153,27,2023-09-06T01:40:02.000
306,42169,26,2023-09-06T01:40:02.000
307,42152,24,2023-09-06T01:40:02.000
308,42171,22,2023-09-06T01:40:02.000
309,42172,27,2023-09-06T01:40:02.000
310,42173,30,2023-09-06T01:40:02.000
311,42175,23,2023-09-06T01:40:02.000
312,42170,31,2023-09-06T01:40:02.000
313,42185,20,2023-09-06T01:40:02.000
314,42186,27,2023-09-06T01:40:02.000
315,41884,27,2023-09-06T01:50:16.000
316,41885,23,2023-09-06T01:50:16.000
317,41887,22,2023-09-06T01:50:16.000
318,41888,30,2023-09-06T01:50:16.000
319,41895,27,2023-09-06T01:50:16.000
320,41910,24,2023-09-06T01:50:16.000
321,41933,29,2023-09-06T01:50:16.000
322,41923,26,2023-09-06T01:50:16.000
323,41924,24,2023-09-06T01:50:16.000
324,41931,29,2023-09-06T01:50:16.000
325,41932,22,2023-09-06T01:50:16.000
326,41939,27,2023-09-06T01:50:16.000
327,41921,27,2023-09-06T01:50:16.000
328,41661,26,2023-09-06T02:01:07.000
329,41664,26,2023-09-06T02:01:07.000
330,41665,25,2023-09-06T02:01:07.000
331,41668,29,2023-09-06T02:01:07.000
332,41669,30,2023-09-06T02:01:07.000
333,41671,30,2023-09-06T02:01:07.000
334,41676,27,2023-09-06T02:01:07.000
335,41678,24,2023-09-06T02:01:07.000
336,41683,23,2023-09-06T02:01:07.000
337,41686,26,2023-09-06T02:01:07.000
338,41687,28,2023-09-06T02:01:07.000
339,41498,25,2023-09-06T02:10:16.000
340,41499,28,2023-09-06T02:10:16.000
341,41500,35,2023-09-06T02:10:16.000
342,41508,27,2023-09-06T02:10:16.000
343,41509,27,2023-09-06T02:10:16.000
344,41504,26,2023-09-06T02:10:16.000
345,41517,29,2023-09-06T02:10:16.000
346,41512,31,2023-09-06T02:10:16.000
347,41534,27,2023-09-06T02:10:16.000
348,41527,27,2023-09-06T02:10:16.000
349,41525,25,2023-09-06T02:10:16.000
350,41521,30,2023-09-06T02:10:16.000
351,41349,30,2023-09-06T02:20:35.000
352,41351,30,2023-09-06T02:20:35.000
353,41352,33,2023-09-06T02:20:35.000
354,41359,33,2023-09-06T02:20:35.000
355,41371,23,2023-09-06T02:20:35.000
356,41369,26,2023-09-06T02:20:35.000
357,41374,24,2023-09-06T02:20:35.000
358,41376,25,2023-09-06T02:20:35.000
359,41377,28,2023-09-06T02:20:35.000
360,41378,33,2023-09-06T02:20:35.000
361,41379,33,2023-09-06T02:20:35.000
362,41380,30,2023-09-06T02:20:35.000
363,41373,27,2023-09-06T02:20:35.000
364,41372,29,2023-09-06T02:20:35.000
365,41197,30,2023-09-06T02:30:49.000
366,41174,30,2023-09-06T02:30:49.000
367,41175,18,2023-09-06T02:30:49.000
368,41184,33,2023-09-06T02:30:49.000
369,41191,25,2023-09-06T02:30:49.000
370,41192,30,2023-09-06T02:30:49.000
371,41205,30,2023-09-06T02:30:49.000
372,41210,30,2023-09-06T02:30:49.000
373,41211,30,2023-09-06T02:30:49.000
374,41217,26,2023-09-06T02:30:49.000
375,41221,27,2023-09-06T02:30:49.000
376,41226,26,2023-09-06T02:30:49.000
377,41227,27,2023-09-06T02:30:49.000
378,41204,32,2023-09-06T02:30:49.000
379,41044,21,2023-09-06T02:40:01.000
380,41045,30,2023-09-06T02:40:01.000
381,41048,26,2023-09-06T02:40:01.000
382,41051,26,2023-09-06T02:40:01.000
383,41053,23,2023-09-06T02:40:01.000
384,41059,25,2023-09-06T02:40:01.000
385,41063,26,2023-09-06T02:40:01.000
386,41068,22,2023-09-06T02:40:01.000
387,41071,23,2023-09-06T02:40:01.000
388,41075,23,2023-09-06T02:40:01.000
389,41078,27,2023-09-06T02:40:01.000
390,41083,28,2023-09-06T02:40:01.000
391,41060,25,2023-09-06T02:40:01.000
392,40907,28,2023-09-06T02:50:16.000
393,40899,22,2023-09-06T02:50:16.000
394,40901,25,2023-09-06T02:50:16.000
395,40904,29,2023-09-06T02:50:16.000
396,40905,24,2023-09-06T02:50:16.000
397,40906,28,2023-09-06T02:50:16.000
398,40914,29,2023-09-06T02:50:16.000
399,40903,29,2023-09-06T02:50:16.000
400,40926,22,2023-09-06T02:50:16.000
401,40927,27,2023-09-06T02:50:16.000
402,40932,30,2023-09-06T02:50:16.000
403,40933,29,2023-09-06T02:50:16.000
404,40943,23,2023-09-06T02:50:16.000
405,40937,24,2023-09-06T02:50:16.000
406,40939,27,2023-09-06T02:50:16.000
407,40916,24,2023-09-06T02:50:16.000
408,40761,31,2023-09-06T03:01:03.000
409,40771,26,2023-09-06T03:01:03.000
410,40775,30,2023-09-06T03:01:03.000
411,40783,26,2023-09-06T03:01:03.000
412,40793,25,2023-09-06T03:01:03.000
413,40804,24,2023-09-06T03:01:03.000
414,40805,24,2023-09-06T03:01:03.000
415,40808,27,2023-09-06T03:01:03.000
